place_name,place_label,coordinate1,coordinate2,district
OB One Church,religious_site,32.74934808,-117.245965,2
The Rock Church,religious_site,32.73794173,-117.2191858,2
Park Hill Church,religious_site,32.74054077,-117.214036,2
Metropolitan Community Church,religious_site,32.79308295,-117.2035646,2
Pioneer Ocean View United Church of Christ,religious_site,32.78846511,-117.1944666,2
Lighthouse Bible Church San Diego,religious_site,32.83874974,-117.1875099,2
Redeemer's Grace Church,religious_site,32.83355731,-117.2161773,2
Northminster Presbyterian Church,religious_site,32.8342785,-117.2012428,2
Grace Bible Church San Diego,religious_site,32.80903341,-117.183905,2
Clairemont Medical Center,hospital,32.82185638,-117.1834759,2
Sharp healthcare,hospital,32.7546732,-117.2167818,2
Progressive Health Services,HIV_clinic,32.74511599,-117.2416627,2
Discount Gun Mart,gun_store,32.77653153,-117.2052547,2
Cross Armory Business Office,gun_store,32.72629169,-117.2328883,2
Golden State Greens,dispensary,32.75841617,-117.2079313,2
Vons,grocery_store,32.83341143,-117.2051848,2
Vons,grocery_store,32.81999623,-117.1794356,2
Smart and Final,grocery_store,32.83629616,-117.1844138,2
Vons,grocery_store,32.75332296,-117.2166862,2
Barons Market Point Loma,grocery_store,32.75534409,-117.2305907,2
Ralphs,grocery_store,32.73092955,-117.2266426,2
Target,grocery_store,32.7497002,-117.2482719,2
Vons,grocery_store,32.73959342,-117.2165145,2
Sprouts,grocery_store,32.7960231,-117.1925569,2
CVS,pharmacy,32.83393874,-117.2045733,2
CVS,pharmacy,32.8219662,-117.1786524,2
Rite Aid,pharmacy,32.79888206,-117.1927286,2
CVS,pharmacy,32.75745986,-117.2222544,2
Point Loma Cabrillo Drug,pharmacy,32.72451213,-117.2460938,2
CVS,pharmacy,32.74934808,-117.2055817,2
The Church at Rancho Bernardo,religious_site,33.02145135,-117.0780389,5
Rancho Bernardo Community Presbyterian Church,religious_site,33.02011996,-117.0614736,5
Pomerado Christian Church,religious_site,33.00774073,-117.0558088,5
Peñasquitos Lutheran Church,religious_site,32.98110509,-117.0920293,5
Hope Presbyterian Church,religious_site,32.97212781,-117.1258879,5
Mt Carmel Church-The Nazarene,religious_site,32.96377467,-117.112155,5
Temple Adat Shalom,religious_site,33.0054192,-117.0572812,5
The Church of Jesus Christ of Latter-day Saints,religious_site,32.97801413,-117.1435471,5
Palomar hospital,hospital,32.99866265,-117.0557423,5
Medical Testing Center,HIV_clinic,33.01305146,-117.0579882,5
spartan defense llc,gun_store,33.02117009,-117.0610789,5
March and Ash,dispensary,32.96382325,-117.0923356,5
Quality Therapeutics,dispensary,33.01620704,-117.1261429,5
Target,grocery_store,33.0729981,-117.0654475,5
Vons,grocery_store,33.02350044,-117.0735156,5
Albertsons,grocery_store,33.01990214,-117.0625293,5
Ralphs,grocery_store,33.02119755,-117.1131694,5
Target,grocery_store,33.02350044,-117.126044,5
Vons,grocery_store,32.96000492,-117.1248423,5
Sprouts,grocery_store,33.00464373,-117.0592677,5
Trader Joe's,grocery_store,32.98376709,-117.0757472,5
CVS,pharmacy,32.95776136,-117.1283877,5
Vons Pharmacy,pharmacy,32.96323457,-117.1539652,5
Vons Pharmacy,pharmacy,33.02389016,-117.0726387,5
CVS,pharmacy,33.02182523,-117.12533,5
CVS,pharmacy,33.07348157,-117.0652485,5
Naval Medical Center,hospital,32.725,-117.145,3
Christ United Presbyterian Church,religious_site,32.724,-117.128,3
North Park Presbyterian Church,religious_site,32.751,-117.128,3
NewbreakChurch Hillcrest,religious_site,32.75,-117.15,3
CVS,pharmacy,32.727,-117.128,3
CVS,pharmacy,32.749,-117.129,3
CVS,pharmacy,32.749,-117.126,3
Wallgreens,pharmacy,32.748,-117.126,3
Mcgill School of Success,school,32.736,-117.121,3
McKinley Elementary School,school,32.725,-117.129,3
Roosevelt Middle School,school,32.74,-117.148,3
Jefferson Elementary School,school,32.748,-117.133,3
North Park Pediatric Clinic & Women's Health Center,hospital,32.743,-117.13,3
Target,grocery_store,32.748,-117.129,3
Barons Market North Park,grocery_store,32.748,-117.124,3
Target,grocery_store,32.739,-117.125,3
Parkside,grocery_store,32.727,-117.129,3
North Park Branch Library,library,32.747,-117.127,3
Neighborhood Lending Library,library,32.722,-117.13,3
Little Free Library XO,library,32.744,-117.136,3
San Diego City College Library,library,32.718,-117.152,3
Open Ministry,religious_site,32.71,-117.16,3
City Church Ministries,religious_site,32.71391667,-117.1619722,3
Common Church,religious_site,32.71266667,-117.1531111,3
Harbor City Church,religious_site,32.71302778,-117.1493611,3
Living Water Church of the Nazarene,religious_site,32.71163889,-117.1496389,3
East Village Community Church,religious_site,32.71055556,-117.15225,3
Second Sunday Church,religious_site,32.70933333,-117.1550556,3
Urban Discovery Academy,schools,32.71994444,-117.1540833,3
CVS Pharmacy,pharmacy,32.71680556,-117.1601389,3
CVS Pharmacy,pharmacy,32.71580556,-117.1608056,3
Allen Pharmacy,pharmacy,32.71672222,-117.1616111,3
Ralphs Pharmacy,pharmacy,32.7125,-117.1632778,3
CVS Pharmacy,pharmacy,32.71138889,-117.15875,3
CVS Pharmacy,pharmacy,32.70947222,-117.1604167,3
Albertsons Pharmacy,pharmacy,32.71205556,-117.1516944,3
CVS Pharmacy,pharmacy,32.70647222,-117.1544722,3
Valet Market,grocery_store,32.71788889,-117.1563611,3
Krisp Beverages + Natural Foods,grocery_store,32.71616667,-117.1584444,3
Ralphs,grocery_store,32.71213889,-117.1636944,3
Grocery Outlet,grocery_store,32.71161111,-117.1550556,3
Albertsons,grocery_store,32.71208333,-117.1519167,3
Smart & Final,grocery_store,32.71269444,-117.1509722,3
San Diego City College Library,library,32.71775,-117.1525556,3
San Diego Law Library,library,32.71694444,-117.1646944,3
United States Courts Library,library,32.71555556,-117.1675278,3
San Diego Central Library,library,32.70852778,-117.154,3
Sowing Seeds For Jesus Christian Missionary Churches,religious_site,32.709947,-117.071562,4
St. John Church Of God In Christ,religious_site,32.713091,-117.066234,4
City of Hope International Church,religious_site,32.702957,-117.087039,4
Phillips Temple CME Church,religious_site,32.715948,-117.080667,4
Church of Christ-San Diego,religious_site,32.711162,-117.049383,4
Spirit Ministries,religious_site,32.734374,-117.077329,4
Medi Center,hospital,32.711413,-117.106388,4
Our Place,HIV_clinic,32.707133,-117.085316,4
Planned Parenthood - Euclid Avenue Francis Torbert Center,abortion_clinic,32.706184,-117.08518,4
Food4Less,grocery_store,32.708388,-117.085218,4
Manolo Farmers Market,grocery_store,32.720305,-117.085164,4
Sundance Market,grocery_store,32.696721,-117.09339,4
Imperial Food Supermarket,grocery_store,32.710472,-117.05775,4
Big Value Market,grocery_store,32.711966,-117.048909,4
Hanks Farmer Market,grocery_store,32.698647,-117.027229,4
Walgreens Pharmacy,pharmacy,32.711551,-117.085273,4
Paradise Pharmacy,pharmacy,32.684572,-117.083202,4
Paradise Hills Pharmacy,pharmacy,32.675368,-117.064531,4
The Medicine Shoppe Pharmacy,pharmacy,32.677208,-117.03908,4
Sam's Club Pharmacy,pharmacy,32.739585,-117.05689,4
